"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"123",80208155,"Movie","A Wrinkle in Time","Ava DuVernay","Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson","United States","September 25, 2018",2018,"PG","110 min","Children & Family Movies","Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness."
"124",80198423,"Movie","Teach Us All","Sonia Lowman","","United States","September 25, 2017",2017,"TV-14","81 min","Documentaries","It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that."
"125",80162144,"Movie","White Island","Benjamin Turner","Lyndon Ogbourne, Billy Zane, Billy Boyd, Joel Dommett, Elliot Gleave, Gala Gordon, Darren Day, Owain Arthur, Craig Gazey, Ben Cura","United Kingdom","September 25, 2017",2016,"TV-MA","91 min","Comedies, Independent Movies, Thrillers","Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left."
"126",81053953,"Movie","Inside Man: Most Wanted","Michael J. Bassett","Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok","United States","September 24, 2019",2019,"R","106 min","Action & Adventure","A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve."
"127",81074113,"Movie","Jeff Dunham: Beside Himself","Troy Miller","Jeff Dunham","United States","September 24, 2019",2019,"TV-MA","58 min","Stand-Up Comedy","Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture."
"128",80992496,"Movie","China Salesman","Tan Bing","Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian","China","September 24, 2018",2017,"TV-MA","111 min","Action & Adventure, International Movies","A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger."
"130",80103311,"Movie","The Bar","Álex de la Iglesia","Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada","Spain, Argentina","September 24, 2017",2017,"TV-MA","102 min","Comedies, Horror Movies, International Movies","Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises."
"131",81176200,"Movie","Manmadhudu 2","Rahul Ravindran","Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti","India","September 23, 2019",2019,"TV-MA","152 min","Comedies, Dramas, International Movies","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
"132",80238106,"TV Show","Team Kaylie","","Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley","","September 23, 2019",2019,"TV-PG","1 Season","Kids' TV, TV Comedies","After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader."
"133",80208906,"Movie","Under the Eiffel Tower","Archie Borders","Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole","United States","September 23, 2019",2018,"TV-MA","87 min","Comedies, Independent Movies, Romantic Movies","An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life."
"134",80097321,"Movie","Audrie & Daisy","Bonni Cohen, Jon Shenk","","United States","September 23, 2016",2016,"TV-14","99 min","Documentaries","In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities."
"135",80106966,"Movie","Iliza Shlesinger: Confirmed Kills","Bobcat Goldthwait","Iliza Shlesinger","United States","September 23, 2016",2016,"TV-MA","78 min","Stand-Up Comedy","The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
"136",81004814,"TV Show","BONDING","","Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould","United States","September 22, 2019",2019,"TV-MA","1 Season","TV Comedies, TV Dramas","A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant."
"139",80211380,"Movie","In Darkness","Anthony Byrne","Natalie Dormer, Ed Skrein, Emily Ratajkowski, Neil Maskell, Jan Bijvoet, James Cosmo, Joely Richardson","United Kingdom, United States","September 22, 2018",2018,"TV-MA","101 min","Independent Movies, International Movies, Thrillers","A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes."
"140",80196586,"Movie","Gaga: Five Foot Two","Chris Moukarbel","Lady Gaga","United States","September 22, 2017",2017,"TV-MA","101 min","Documentaries, Music & Musicals","Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles."
"141",80099204,"Movie","The Bad Batch","Ana Lily Amirpour","Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross","United States","September 22, 2017",2016,"R","119 min","Dramas, Independent Movies, Thrillers","Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals."
"143",81172721,"Movie","King of Boys","Kemi Adetiba","Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja","Nigeria","September 21, 2019",2018,"TV-MA","182 min","Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
"144",81172727,"Movie","Merry Men: The Real Yoruba Demons","Toka McBaror","Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru","Nigeria","September 21, 2019",2018,"TV-MA","106 min","Comedies, International Movies","Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities."
"146",81172728,"Movie","The Wedding Party 2: Destination Dubai","Niyi Akinmolayan","Enyinna Nwigwe, Daniella Down, Banky Wellington, Adesua Etomi, Somkele Iyamah, Iretiola Doyle, Sola Sobowale, Michael De Pinna, Lynita Crofford, Patience Ozokwor","Nigeria","September 21, 2019",2017,"TV-14","98 min","Comedies, International Movies, Romantic Movies","In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
"147",81095101,"TV Show","Vagabond","","Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra","South Korea","September 21, 2019",2019,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Action & Adventure","When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri."
"148",80195173,"TV Show","Battlefish","","","","September 21, 2018",2018,"TV-MA","1 Season","Reality TV, Science & Nature TV, TV Action & Adventure","Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast."
"149",80241960,"TV Show","DRAGON PILOT: Hisone & Masotan","","Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata","Japan","September 21, 2018",2018,"TV-14","1 Season","Anime Series, International TV Shows","Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot."
"150",80115346,"TV Show","Hilda","","Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","September 21, 2018",2018,"TV-Y7","1 Season","Kids' TV","Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
"151",80124522,"TV Show","Maniac","","Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke","United States","September 21, 2018",2018,"TV-MA","1 Season","TV Comedies, TV Dramas, TV Mysteries","Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer."
"152",80102952,"Movie","Quincy","Rashida Jones, Alan Hicks","Quincy Jones","United States","September 21, 2018",2018,"TV-MA","124 min","Documentaries, Music & Musicals","This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career."
"153",80214464,"Movie","Rafinha Bastos: Ultimatum","","Rafinha Bastos","Brazil","September 21, 2018",2018,"TV-MA","63 min","Stand-Up Comedy","An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
"154",80157073,"TV Show","The Good Cop","","Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.","United States","September 21, 2018",2018,"TV-PG","1 Season","Crime TV Shows, TV Comedies, TV Dramas","When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad."
"155",80243600,"Movie","Between Two Ferns: The Movie","Scott Aukerman","Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell","United States","September 20, 2019",2019,"TV-MA","83 min","Comedies","Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show."
"156",81020513,"TV Show","Criminal: France","","Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier","","September 20, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance."
"157",81020518,"TV Show","Criminal: Germany","","Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora","","September 20, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all."
"158",81020523,"TV Show","Criminal: Spain","Mariano Barroso","Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada","","September 20, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost."
"159",80216172,"TV Show","Criminal: UK","","Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","United Kingdom, France, Germany, Spain","September 20, 2019",2019,"TV-MA","1 Season","British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
"160",81122669,"Movie","Daddy Issues","Amara Cash","Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins","United States","September 20, 2019",2019,"TV-MA","82 min","Dramas, Independent Movies, LGBTQ Movies","Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well."
"161",80184771,"TV Show","Inside Bill's Brain: Decoding Bill Gates","","Bill Gates","United States","September 20, 2019",2019,"TV-14","1 Season","Docuseries, Science & Nature TV","Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing."
"162",81000389,"TV Show","The Hockey Girls","Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet","Spain","September 20, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
"163",81132439,"Movie","Travel Mates 2","Bedran Güzel","Oğuzhan Koç, İbrahim Büyükak, Ezgi Eyüboğlu, Olgun Toker, Kadir Polatçi, Aycan Koptur, Bahar Şahin, Kıvanç Baran Arslan","Turkey","September 20, 2019",2018,"TV-14","111 min","Comedies, International Movies","When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps."
